GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VideoGame_P2,default,Artificial,68,0,2,0,22,0,8,0,7,0
VideoGame_P2,default,Aliens,69,0,2,0,22,0,8,0,7,0
VideoGame_P2,default,Humanos,69,0,2,0,22,0,8,0,7,0
VideoGame_P2,default,Personajes,43,0,0,0,18,0,9,0,9,0
VideoGame_P2,default,main,40,0,0,0,9,0,2,0,2,0
VideoGame_P2,default,SuperHumanos,75,0,2,0,24,0,8,0,7,0
